基礎数学１
,,定期試験,小テスト,ポートフォリオ,発表・取り組み姿勢,その他,合計
,総合評価割合,90,0,10,0,0,100,,
,基礎的能力,90,0,10,0,0,100,,
,専門的能力,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

数学A
,,定期試験,小テスト,ポートフォリオ,発表・取り組み,その他,合計
,総合評価割合,90,0,10,0,0,100,,
,基礎的能力,90,0,10,0,0,100,,
,専門的能力,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

英語１
,,定期試験,小テスト,ポートフォリオ,発表・取り組み姿勢,その他,合計
,総合評価割合,60,15,0,10,15,100,,
,基礎的能力,60,15,0,10,15,100,,
,専門的能力,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

保健
,,定期試験,小テスト,ポートフォリオ,発表・取り組み,その他,合計
,総合評価割合,80,0,20,0,0,100,,
,基礎的能力,80,0,20,0,0,100,,
,専門的能力,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

体育
,,定期試験,小テスト,ポートフォリオ,発表・取り組み姿勢,その他,合計
,総合評価割合,0,0,0,0,100,100,,
,基礎的能力,0,0,0,0,0,0,,
,専門的能力,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,100,100,,
,,,,,,,,,

美術・デザイン
,,定期試験,小テスト,ポートフォリオ,発表・取り組み姿勢,その他,合計
,総合評価割合,0,0,70,0,30,100,,
,基礎的能力,0,0,70,0,30,100,,
,専門的能力,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

日本語総合
,,定期試験,小テスト,ポートフォリオ,発表・取り組み姿勢,その他,合計
,総合評価割合,70,0,20,5,5,100,,
,基礎的能力,70,0,20,5,5,100,,
,専門的能力,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

倫理
,,定期試験,小テスト,ポートフォリオ,発表・取り組み姿勢,その他,合計
,総合評価割合,70,0,0,0,30,100,,
,基礎的能力,70,0,0,0,30,100,,
,専門的能力,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

理科総合
,,定期試験,小テスト,ポートフォリオ,発表・取り組み姿勢,その他,合計
,総合評価割合,40,10,30,10,10,100,,
,基礎的能力,30,10,30,10,10,90,,
,専門的能力,10,0,0,0,0,10,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

英語A
,,定期試験,小テスト,ポートフォリオ,発表・取り組み姿勢,その他,合計
,総合評価割合,60,30,0,10,0,100,,
,基礎的能力,60,30,0,10,0,100,,
,専門的能力,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

英語コミュニケーション基礎
,,定期試験,小テスト,ポートフォリオ,発表・取組姿勢,その他,合計
,総合評価割合,50,0,30,10,10,100,,
,基礎的能力,50,0,30,10,10,100,,
,専門的能力,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

基礎数学２
,,定期試験,小テスト,レポート・課題,発表,その他,合計
,総合評価割合,90,0,10,0,0,100,,
,基礎的能力,90,0,10,0,0,100,,
,専門的能力,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

数学B
,,定期試験,小テスト,ポートフォリオ,発表・取り組み姿勢,その他,合計
,総合評価割合,90,0,0,0,10,100,,
,基礎的能力,90,0,0,0,10,100,,
,専門的能力,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

日本語総合
,,定期試験,小テスト,ポートフォリオ,発表･取り組み姿勢,その他,合計
,総合評価割合,80,0,10,5,5,100,,
,基礎的能力,80,0,10,5,5,100,,
,専門的能力,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

英語２
,,試験,小テスト,ポートフォリオ,発表・取り組み,その他,合計
,総合評価割合,60,20,20,0,0,100,,
,基礎的能力,60,20,20,0,0,100,,
,専門的能力,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

英語B
,,定期試験,小テスト,課題,発表,その他,合計
,総合評価割合,60,10,20,0,10,100,,
,基礎的能力,60,10,20,0,10,100,,
,専門的能力,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

英会話
,,試験,小テスト,ポートフォリオ,発表・取り組み,その他,合計
,総合評価割合,60,10,15,10,5,100,,
,基礎的能力,60,10,15,10,5,100,,
,専門的能力,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

物理
,,試験,課題,小テスト,ポートフォリオ・取り組み姿勢,合計
,総合評価割合,60,20,10,10,100,,
,基礎的能力,40,20,10,10,80,,
,専門的能力,20,0,0,0,20,,
,分野横断的能力,0,0,0,0,0,,
,,,,,,,,

物理実験・演習
,,試験,小テスト,レポート・課題,発表,その他,合計
,総合評価割合,0,0,80,10,10,100,,
,基礎的能力,0,0,50,10,10,70,,
,専門的能力,0,0,30,0,0,30,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

化学
,,定期試験,小テスト,レポート・課題,合計
,総合評価割合,60,20,20,100,,
,基礎的能力,60,20,20,100,,
,専門的能力,0,0,0,0,,
,分野横断的能力,0,0,0,0,,
,,,,,,,

世界史
,,定期試験,小テスト,ポートフォリオ,発表・取り組み姿勢,その他,合計
,総合評価割合,70,0,30,0,0,100,,
,基礎的能力,70,0,30,0,0,100,,
,専門的能力,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

政治経済
,,定期試験,小テスト,ポートフォリオ,発表・取り組み姿勢,その他,合計
,総合評価割合,70,0,30,0,0,100,,
,基礎的能力,60,0,30,0,0,90,,
,専門的能力,10,0,0,0,0,10,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

体育
,,定期試験,小テスト,ポートフォリオ,発表・取り組み姿勢,その他,合計
,総合評価割合,0,0,0,0,100,100,,
,基礎的能力,0,0,0,0,0,0,,
,専門的能力,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,100,100,,
,,,,,,,,,

微分積分
,,定期試験,小テスト,ポートフォリオ,発表・取り組み姿勢,その他,合計
,総合評価割合,90,0,10,0,0,100,,
,基礎的能力,90,0,10,0,0,100,,
,専門的能力,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,,
,"",0,0,0,0,0,0,,
,,,,,,,,,

数学C
,,定期試験,小テスト,ポートフォリオ,発表・取り組み,その他,合計
,総合評価割合,90,0,10,0,0,100,,
,基礎的能力,90,0,10,0,0,100,,
,専門的能力,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

日本語総合
,,定期試験,小テスト,ポートフォリオ,発表・取り組み姿勢,その他,合計
,総合評価割合,75,10,0,10,5,100,,
,基礎的能力,75,10,0,10,5,100,,
,専門的能力,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

英語３
,,試験,発表,相互評価,課題提出,小テスト,態度,合計
,総合評価割合,60,0,0,20,10,10,100,,
,基礎的能力,60,0,0,20,10,10,100,,
,専門的能力,0,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

英作文
,,定期試験,小テスト,ポートフォリオ,発表・取り組み姿勢,その他,"","",合計
,総合評価割合,60,15,0,10,15,0,0,100,,
,基礎的能力,60,15,0,10,15,0,0,100,,
,専門的能力,0,0,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,

物理
,,定期試験,到達度試験,小テスト,ポートフォリオ,発表・取り組み姿勢,その他,合計
,総合評価割合,40,10,20,20,10,0,100,,
,基礎的能力,20,10,20,10,10,0,70,,
,専門的能力,20,0,0,10,0,0,30,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

日本史
,,定期試験,小テスト,ポートフォリオ ,発表・取り組み姿勢,その他,合計
,総合評価割合,80,0,20,0,0,100,,
,基礎的能力,80,0,20,0,0,100,,
