建築計画
,,定期試験,小テスト,ポートフォリオ,発表・取り組み姿勢,その他,合計
,総合評価割合,70,0,30,0,0,100,,
,基礎的能力,0,0,0,0,0,0,,
,専門的能力,60,0,30,0,0,90,,
,分野横断的能力,10,0,0,0,0,10,,
,,,,,,,,,

測量学１
,,定期試験,小テスト,ポートフォリオ,発表・取り組み姿勢,その他,合計
,総合評価割合,60,0,30,10,0,100,,
,基礎的能力,20,0,15,5,0,40,,
,専門的能力,40,0,15,5,0,60,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

測量実習１
,,定期試験,実技テスト,ポートフォリオ,発表・取り組み姿勢,その他,合計
,総合評価割合,0,10,60,30,0,100,,
,基礎的能力,0,5,35,20,0,60,,
,専門的能力,0,5,25,10,0,40,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

基礎製図
,,定期試験,小テスト,ポートフォリオ,発表・取り組み姿勢,その他,合計
,総合評価割合,0,0,100,0,0,100,,
,基礎的能力,0,0,0,0,0,0,,
,専門的能力,0,0,100,0,0,100,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

環境学概論
,,定期試験,小テスト,ポートフォリオ,発表・取り組み姿勢,その他,合計
,総合評価割合,70,30,0,0,0,100,,
,基礎的能力,20,10,0,0,0,30,,
,専門的能力,50,20,0,0,0,70,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

CAD製図
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,10,0,0,0,90,0,100,,
,基礎的能力,5,0,0,0,20,0,25,,
,専門的能力,5,0,0,0,70,0,75,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

測量学２
,,定期試験,小テスト,ポートフォリオ,発表・取り組み姿勢,その他,合計
,総合評価割合,70,0,20,10,0,100,,
,基礎的能力,10,0,0,10,0,20,,
,専門的能力,60,0,20,0,0,80,,
,分野横断的能力,0,0,0,0,0,0,,
,,,,,,,,,

測量実習２
,,定期試験,小テスト,ポートフォリオ,発表・取り組み姿勢,その他,合計
